#	datafile Path	C:\data\asr\17060530.dat
#	datafile Name	17060530.dat
#	Download date	2017-06-05  
#	download Time	20:02:17
#	Software name	(@) ASRdown_tools.c
#	software Revision	76
#	software date	2004 January 12
#	ASR software version	R392d.MSA
#
#	? location where ASR was operated ? 
#	ceh rooftop June 5 2017 L8 & RE1
#	
#	? weather conditions ? 
#	very nice all day, some wv gradient to the W
#	
#	? ASR operator name ? 
#	daaron all times utc
#	
#	? observations and comments ? 
#	
#	
------------------------------------------------------

CHANNEL         9   6581
CHANNEL        10  29764
TIME         12  :  26  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  11610	ambient	    0
CHANNEL         2  12329	barometer	65535
CHANNEL         3  18283	humidity	65535
CHANNEL         4  19656
CHANNEL         5  25388
CHANNEL         6  32923
CHANNEL         7  44007
CHANNEL         8  43534
CHANNEL         9   6653
CHANNEL        10  29841
TIME         12  :  27  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  11842	ambient	    0
CHANNEL         2  12538	barometer	65535
CHANNEL         3  18515	humidity	65535
CHANNEL         4  19809
CHANNEL         5  25524
CHANNEL         6  33044
CHANNEL         7  44038
CHANNEL         8  43574
CHANNEL         9   6726
CHANNEL        10  29851
TIME         12  :  28  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  12072	ambient	    0
CHANNEL         2  12638	barometer	65535
CHANNEL         3  18650	humidity	65535
CHANNEL         4  19933
CHANNEL         5  25660
CHANNEL         6  33144
CHANNEL         7  44164
CHANNEL         8  43665
CHANNEL         9   6800
CHANNEL        10  29919
TIME         12  :  29  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  12303	ambient	    0
CHANNEL         2  12896	barometer	65535
CHANNEL         3  18914	humidity	65535
CHANNEL         4  20016
CHANNEL         5  25758
CHANNEL         6  33295
CHANNEL         7  44294
CHANNEL         8  43738
CHANNEL         9   6907
CHANNEL        10  29950
TIME         12  :  30  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  12526	ambient	    0
CHANNEL         2  13082	barometer	65535
CHANNEL         3  19161	humidity	65535
CHANNEL         4  20211
CHANNEL         5  25967
CHANNEL         6  33419
CHANNEL         7  44444
CHANNEL         8  43820
CHANNEL         9   7028
CHANNEL        10  29998
TIME         12  :  31  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  12780	ambient	    0
CHANNEL         2  13277	barometer	65535
CHANNEL         3  19333	humidity	65535
